,,Runtime (ms),Runtime (ms),Runtime (ms),Runtime (ms),Runtime (ms),Runtime (ms),Number of Comparisons,Number of Comparisons,Number of Comparisons,Number of Comparisons,Number of Comparisons,Number of Comparisons
,,Bubble Sort,Insertion Sort,Quick Sort Randomized,Quick Sort Median,Heap Sort,3-Way Merge Sort,Bubble Sort,Insertion Sort,Quick Sort Randomized,Quick Sort Median,Heap Sort,3-Way Merge Sort
Input Type,Input Size,,,,,,,,,,,,
Random,"1,000",120.545,23.826,1.435,1.838,3.100,2.403,"493,561","252,167","10,755","12,360","16,890","9,044"
Random,"2,000",216.212,93.053,3.073,3.503,7.026,4.980,"1,993,103","1,011,073","24,010","27,117","37,669","20,207"
Random,"4,000",832.459,379.304,6.873,7.240,15.524,10.082,"7,994,044","4,009,109","54,425","57,745","83,479","44,617"
Random,"8,000","3,287.951","1,504.560",14.897,15.286,33.278,21.247,"31,968,701","15,868,141","119,426","126,825","182,898","97,644"
Sorted,"1,000",0.060,0.119,56.908,1.375,3.329,1.408,999,999,"499,500","10,987","17,583","5,970"
Sorted,"2,000",0.123,0.241,228.785,2.975,6.883,3.258,"1,999","1,999","1,999,000","23,965","39,161","13,540"
Sorted,"4,000",0.245,0.486,947.322,6.391,15.260,7.092,"3,999","3,999","7,998,000","51,920","86,576","29,084"
Sorted,"8,000",0.492,0.975,"3,800.790",14.021,34.664,14.670,"7,999","7,999","31,996,000","111,828","189,426","63,213"
Reversed,"1,000",60.738,44.680,44.111,1.996,2.721,1.145,"499,500","499,500","499,500","17,205","15,965","4,381"
Reversed,"2,000",255.018,186.495,183.819,4.424,6.304,2.780,"1,999,000","1,999,000","1,997,958","38,880","35,964","9,433"
Reversed,"4,000","1,064.565",753.481,742.959,10.018,14.290,4.832,"7,998,000","7,998,000","7,993,346","87,378","80,151","20,898"
Reversed,"8,000","4,372.442","3,036.464","2,946.965",21.725,32.297,12.453,"31,996,000","31,996,000","31,899,678","193,758","176,073","45,107"
